Notes,Category,Key,Author,Title,Journal,Year,PDF,PPT/sound/photos,Awards/Honors
,Conference,afergan2014dynamic,"Dan Afergan, Evan Peck, Erin Solovey, Sam Hincks, AJ Jenkins, Eli T Brown, Remco Chang, Robert Jacob",Dynamic Difficulty Using Brain Metrics of Workload,"ACM SIGCHI Conference on Human Factors in Computing Systems (CHI), 2014",2014,Yes,--,Honorable Mention Award
author name: R. Jordan Crouser (?),Journal,ottley2013manipulating,"Alvitta Ottley, R. Jordan Crouser, Caroline Ziemkiewicz, Remco Chang",Manipulating and Controlling for Personality Effects on Visualization Tasks,"Journal of Information Visualization (IVI), 2013.",2013,Yes,--,--
,Book Chapter,,"R. Jordan Crouser, Alvitta Ottley, Remco Chang",Balancing Human and Machine Contributions in Human Computation Systems,"Human Computation Handbook, Springer, 2013",2013,--,--,--
,Book Chapter,,"Remco Chang, Caroline Ziemkiewicz",Algorithm Chapter Introduction,"Human Computation Handbook, Springer, 2013",2013,--,--,--
,Conference,,"Leilani Battle, Remco Chang, Michael Stonebraker",Dynamic Reduction of Result Sets for Interactive Visualization,"IEEE Workshop on Big Data Visualization, 2013",2013,Yes,Talk at the Big Data Workshop (ppt),--
,Conference,,"Evan Peck, Beste Yuksel, Alvitta Ottley, Robert Jacob, Remco Chang",Using fNIRS Brain Sensing to Evaluate Information Visualization Interfaces,"ACM SIGCHI Conference on Human Factors in Computing Systems (CHI), 2013",2013,Yes,Yes (mp4),--
,Conference,,"Lane Harrison, Drew Skau, Steven Franconeri, Aidong Lu, Remco Chang",Influencing Visual Judgment Through Affective Priming,"ACM SIGCHI Conference on Human Factors in Computing Systems (CHI), 2014",2013,Yes,Yes (mp4),--
,Conference,,"Alvitta Ottley, Evan Peck, Lane Harrison, Remco Chang",The Adaptive User: Priming to Improve Interaction,ACM CHI 2013 Workshop on Many People Many Eyes,2013,Yes,--,--
,Conference,,"Daniel Afergan, Evan Peck, Remco Chang, Robert Jacob",Using Passive Input to Adapt Visualization Systems to the Individual,ACM CHI 2013 Workshop on Many People Many Eyes,2013,Yes,--,--
,Conference,,"R. Jordan Crouser, Jeremy Freeman, Andrew Winslow, Remco Chang",Exploring Agent-Based Simulations in Political Science Using Aggregate Temporal Graphs,"IEEE Pacific Visualization Symposium, 2013",2013,Yes,--,--
author name: J. Helen Zhao(?),Miscellaneous,,"J. Helen Zhao, Quan Lin, Alvitta Ottley, Remco Chang",Poster: Modeling User Interactions for Complex Visual Search Tasks,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2013",2013,Yes,--,--
,Journal,crouser2012affordance,"R. Jordan Crouser, Remco Chang",An Affordance-based Framework for Human Computation and Human-Computer Collaboration,VAST 2012 (IEEE Transactions on Visualization and Computer Graphics (TVCG)),2012,Yes,--,--
,Journal,,"Caroline Ziemkiewcz, Alvitta Ottley, R. Jordan Crouser, AshleyYauilla, Sara Su, William Ribarsky, Remco Chang",How Visualization Layout Relates to Locus of Control and Other Personality Factors,IEEE Transactions on Visualization and Computer Graphics (TVCG),2012,Yes,--,--
,Journal,,"Wenwen Dou, Caroline Ziemkiewicz, Lane Harrison, Dong Hyun Jeong, William Ribarsky, Xiaoyu Wang, Remco Chang",Toward a Deeper Understanding of the Relationship Between Interaction Contraints and Visual Isomorphs,"Journal of Information Visualization (IVS), 2012",2012,Yes,--,--
,Journal,,"Caroline Ziemkiewcz, Alvitta Ottley, R. Jordan Crouser, Krysta Chauncey, Sara Su, Remco Chang",Understanding Visualization by Understanding Individual Users,IEEE Computer Graphics and Applications Viewpoint (CG&A),2012,Yes,--,--
,Conference,,"Eli Brown, Jingjing Liu, Carla Brodley, Remco Chang",Dis-function: Learning Distance Functions Interactively,"IEEE Conference on Visual Analytics Science and Technology (VAST), 2012",2012,Yes,Yes (avi),--
,Conference,,"Evan Peck, Beste Yuksel, Lane Harrison, Alvitta Ottley, Remco Chang",ICD3: Towards a 3-Dimensional Model of Individual Cognitive Differences,IEEE VisWeek BELIV 2012 Workshop (Beyond time and errors: novel evaluation methods for information visualization),2012,Yes,--,--
,Miscellaneous,,"Connor Gramazio, Remco Chang",Poster: Optimizing an SPT-Tree for Visual Analytics,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2012",2012,Yes,--,--
,Miscellaneous,,"Lane Harrison, Remco Chang, Aidong Lu",Poster: Exploring the Impact of Emotion on Visual Judgment,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2013",2012,Yes,--,Best Poster Award
,Miscellaneous,,"Alvitta Ottley, Caroline Ziemkiewicz, R. Jordan Crouser, Remco Chang",Poster: Priming Locus of Control to Affect Performance,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2014",2012,Yes,--,--
,Miscellaneous,,"Daniel Kee, Liz Salowitz, Remco Chang",Poster: Comparing Interactive Web-based Visualization rendering techniques,"Poster, IEEE Conference on Information Visualization (InfoVis), 2012",2012,Yes,--,--
,Journal,,"R Jordan Crouser, Daniel Kee, Dong Hyun Jeong, Remco Chang",Two Visualization Tools for Analysis of Agent-Based Simulations in Political Science,IEEE Computer Graphics and Applications Viewpoint (CG&A),2011,Yes,--,--
,Conference,,"Caroline Ziemkiewicz, R Jordan Crouser, Sara Su, Ashley Yauilla, William Ribarsky, Remco Chang",How Locus of Control Influences Compatibility with Visualization Style,"IEEE Conference on Visual Analytics Science and Technology (VAST), 2011",2011,Yes,--,Honorable Mention Best Paper
,Conference,,"Wenwen Dou, Xiaoyu Wang, Remco Chang, William Ribarsky",Parallel Topics: A probabilistic Approach to Exploring Document Collections,"IEEE Conference on Visual Analytics Science and Technology (VAST), 2011",2011,Yes,--,--
,Miscellaneous,,"Evan Peck, Erin Solovey, Sara Su, Robert Jacob, Remco Chang",Poster: Near to the Brain: Functional Near-Infrared Spectroscopy as a Lightweight Brain Imaging Technique for Visualization,"Poster, IEEE Conference on Information Visualization (InfoVis), 2011",2011,Yes,--,Best Poster Award
,Miscellaneous,,"Garth Griffin, Shaomeng Li, Connor Gramazio, Remco Chang",Poster: An Analytical Approach for the Creative Design of New Visualizations,"Poster, IEEE Conference on Information Visualization (InfoVis), 2012",2011,Yes,--,--
,Miscellaneous,,"Dong Hyun Jeong, Soo Yeon Ji, William Ribarsky, Remco Chang",Poster: A State Transition Approach to Understanding Users' Interactions,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2011",2011,Yes,--,--
,Miscellaneous,,"Jingjing Liu, Eli Brown, Remco Chang","Poster: Find Distance Function, Hide Model Inference","Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2012",2011,Yes,--,--
,Miscellaneous,,"R. Jordan Crouser, Jeremy Freeman, Remco Chang",Poster: Exploring Agent-Based Simulations Using Temporal Graphs,"Poster, IEEE Conference on Visual Analytics Science and Technology (VAST), 2013",2011,Yes,--,--
,Miscellaneous,,"R. Jordan Crouser, Jeremy Freeman, Remco Chang",Computational Exploration of Simulations in Political Science,"SPIE Newsroom, 2011",2011,Yes,--,--
,Miscellaneous,,"Chris North, Remco Chang, Alex Endert, Wenwen Dou, Richard May, William Pike, Glenn Fink",Analytical Provenance: Process + Interaction + Insight,"ACM SIGCHI Workshop (Extended Abstracts), 2011",2011,Yes,--,--
,Journal,,"Tom Butkiewicz, Remco Chang, Zachary Wartell, William Ribarsky",Alleviating the modifiable Areal Unit Problem with Probe-Based Geospatial Analyses,Computer Graphics Forum (Eurovis 2010),2010,Yes,--,--
,Journal,,"Xiaoyu Wang, Wenwen Dou, Shen-en Chen, William Ribarsky, Remco Chang",An Interactive Visual Analytics System for Bridge Management,Computer Graphics Forum (Eurovis 2010),2010,Yes,Yes (mov),--
,Conference,,"Scott Spurlock, George Arceneaux, Xiaoyu Wang, Remco Chang, Richard Souvenir",Combining Automated and Interactive Visual Analysis of Biomechanical Motion Data,"International Symposium on Visual Computing, 2010",2010,Yes,Yes (avi),--
,Conference,,"Wenwen Dou, Caroline Ziemkiewicz, Lane Harrison, Dong Hyun Jeong, Roxanne Ryan, William Ribarsky, Xiaoyu Wang, Remco Chang",Comparing Different Levels of Interaction Constraints for Deriving Visual Problem Isomorphs,"IEEE Conference on Visual Analytics Science and Technology (VAST), 2010",2010,Yes,--,--
,Conference,,"Heather Richter Lipford, Felesia Stukes, Wenwen Dou, Matthew E Hawkins, Remco Chang",Helping Users Recall Their Reasoning Process,"IEEE Conference on Visual Analytics Science and Technology (VAST), 2010",2010,Yes,--,--
,Conference,,"Wenwen Dou, William Ribarsky, Remco Chang",Capturing Reasoning Process Through User Interaction,IEEE EuroVis Symposium on Visual Analytics (EuroVAST) 2010,2010,Yes,--,--
